"","dob_yy","combfips","black","vptb","ptb","births"
"1",2007,"51515",0,3,4,46
"2",2007,"51515",1,1,4,17
"3",2008,"51515",0,1,3,50
"4",2008,"51515",1,1,2,20
"5",2009,"51515",0,1,2,47
"6",2009,"51515",1,1,1,10
"7",2010,"51515",0,1,3,35
"8",2010,"51515",1,2,2,6
"9",2011,"51515",0,2,3,35
"10",2011,"51515",1,1,1,10
"11",2012,"51515",0,2,3,31
"12",2012,"51515",1,1,1,12
"13",2013,"51515",0,1,1,25
"14",2013,"51515",1,1,3,10
"15",2014,"51515",0,1,1,1
"16",2014,"51515",1,1,1,1
"17",2015,"51515",0,1,1,1
"18",2015,"51515",1,1,1,1
"19",2016,"51515",0,1,1,1
"20",2016,"51515",1,1,1,1
"21",2007,"46113",0,1,2,12
"22",2007,"46113",1,1,1,1
"23",2008,"46113",0,1,1,8
"24",2008,"46113",1,1,1,2
"25",2009,"46113",0,1,2,5
"26",2009,"46113",1,1,1,1
"27",2010,"46113",0,1,3,8
"28",2010,"46113",1,1,1,1
"29",2011,"46113",0,1,3,12
"30",2011,"46113",1,1,1,1
"31",2012,"46113",0,1,1,7
"32",2012,"46113",1,1,1,1
"33",2013,"46113",0,1,1,6
"34",2013,"46113",1,1,1,1
"35",2014,"46113",0,1,1,4
"36",2014,"46113",1,1,1,1
"37",2015,"46113",0,1,1,8
"38",2015,"46113",1,1,1,1
"39",2016,"46113",0,1,1,6
"40",2016,"46113",1,1,1,1
"41",2007,"02201",0,2,4,30
"42",2007,"02201",1,1,1,1
"43",2007,"02232",0,2,2,22
"44",2007,"02232",1,1,1,2
"45",2007,"02270",0,1,2,7
"46",2007,"02270",1,1,1,1
"47",2007,"02280",0,1,3,41
"48",2007,"02280",1,1,1,2
"49",2008,"02201",0,1,1,22
"50",2008,"02201",1,1,1,1
"51",2008,"02232",0,1,1,22
"52",2008,"02232",1,1,1,2
"53",2008,"02270",0,1,1,5
"54",2008,"02270",1,1,1,1
"55",2008,"02280",0,2,5,47
"56",2008,"02280",1,1,1,1
"57",2009,"02201",0,1,1,26
"58",2009,"02201",1,1,1,1
"59",2009,"02232",0,2,4,16
"60",2009,"02232",1,1,1,1
"61",2009,"02270",0,1,1,5
"62",2009,"02270",1,1,1,2
"63",2009,"02280",0,2,4,47
"64",2009,"02280",1,1,1,1
"65",2010,"02201",0,1,3,27
"66",2010,"02201",1,1,2,2
"67",2010,"02232",0,1,1,19
"68",2010,"02232",1,1,1,1
"69",2010,"02270",0,1,1,7
"70",2010,"02270",1,1,2,2
"71",2010,"02280",0,1,3,50
"72",2010,"02280",1,1,1,1
"73",2011,"02201",0,1,2,34
"74",2011,"02201",1,1,1,2
"75",2011,"02232",0,2,3,17
"76",2011,"02232",1,1,1,1
"77",2011,"02270",0,1,2,4
"78",2011,"02270",1,1,1,1
"79",2011,"02280",0,1,2,45
"80",2011,"02280",1,1,1,1
"81",2012,"02201",0,1,1,15
"82",2012,"02201",1,1,1,1
"83",2012,"02232",0,1,1,13
"84",2012,"02232",1,1,1,1
"85",2012,"02270",0,1,2,6
"86",2012,"02270",1,1,1,1
"87",2012,"02280",0,1,4,48
"88",2012,"02280",1,1,1,2
"89",2013,"02201",0,1,4,41
"90",2013,"02201",1,1,1,1
"91",2013,"02232",0,2,2,12
"92",2013,"02232",1,1,1,1
"93",2013,"02270",0,1,1,7
"94",2013,"02270",1,1,1,1
"95",2013,"02280",0,2,8,62
"96",2013,"02280",1,1,1,1
"97",2014,"02201",0,1,1,1
"98",2014,"02201",1,1,1,1
"99",2014,"02232",0,1,1,1
"100",2014,"02232",1,1,1,1
"101",2014,"02270",0,1,1,4
"102",2014,"02270",1,1,1,1
"103",2014,"02280",0,1,1,1
"104",2014,"02280",1,1,1,1
"105",2015,"02201",0,1,1,1
"106",2015,"02201",1,1,1,1
"107",2015,"02232",0,1,1,1
"108",2015,"02232",1,1,1,1
"109",2015,"02270",0,1,1,6
"110",2015,"02270",1,1,1,1
"111",2015,"02280",0,1,1,1
"112",2015,"02280",1,1,1,1
"113",2016,"02201",0,1,1,1
"114",2016,"02201",1,1,1,1
"115",2016,"02232",0,1,1,1
"116",2016,"02232",1,1,1,1
"117",2016,"02270",0,1,1,6
"118",2016,"02270",1,1,1,1
"119",2016,"02280",0,1,1,1
"120",2016,"02280",1,1,1,1
